IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
5,Carmelo,5,Maritimo - Fluvial,2017-07-03,13698,2017-07-05,13700,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",7.0,Otros,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,2,1,230.0,120.0,46.0,80.0,50.0,0.0,0.0,0.0,14.0,79.92,79.92
10,Salto,2,Terrestre Auto,2022-09-25,15608,2022-09-29,15612,1,Uruguay,61,Paysandu,1,"Ocio, Recreo, Vacaciones",14,"Jefe, Capataz, Encargado",5.0,Terciaria incompleta,10,Argentina,2,Appart Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,4,4,659.44,134.33,195.39,0.0,61.06,73.27,0.0,170.97,24.42,449.56,1798.22
8,Paysandú,2,Terrestre Auto,2019-04-09,14343,2019-04-15,14349,1,Uruguay,41,Flores,1,"Ocio, Recreo, Vacaciones",14,"Jefe, Capataz, Encargado",3.0,Secundaria incompleta,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,6,2,644.48,287.09,234.36,0.0,58.59,10.63,0.0,17.22,36.6,406.82,813.64
1,Colonia,5,Maritimo - Fluvial,2018-11-01,14184,2018-11-05,14188,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,4,4,1106.43,0.0,307.34,303.65,0.0,145.15,0.0,254.56,399.38,271.68,1086.72
3,Aeropuerto de Carrasco,1,Aereo,2017-06-16,13681,2017-06-24,13689,1,Uruguay,31,Maldonado,3,Trabajo / Profesion,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,20,Brasil,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,8,1,1300.0,500.0,220.85,700.0,150.0,0.0,0.0,368.92,60.23,113.24,113.24
8,Paysandú,2,Terrestre Auto,2025-07-11,16628,2025-07-17,16634,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",27,Profesional dependiente,,,10,Argentina,2,Appart Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,6,4,1800.0,546.0,600.0,0.0,197.85,85.8,0.0,153.13,217.21,123.92,495.68
10,Salto,2,Terrestre Auto,2025-01-23,16459,2025-01-27,16463,1,Uruguay,51,Artigas,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,4,2,183.12,0.0,59.15,0.0,59.22,0.0,0.0,0.0,64.75,227.27,454.54
1,Colonia,5,Maritimo - Fluvial,2022-05-13,15473,2022-05-16,15476,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",3.0,Secundaria incompleta,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,3,2,650.0,120.16,111.75,244.32,144.79,99.32,0.0,173.98,0.0,449.77,899.55
1,Colonia,5,Maritimo - Fluvial,2023-09-15,15963,2023-09-19,15967,1,Uruguay,21,Montevideo,10,Compras,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,6,Otros,4,4,800.0,197.63,183.93,479.7,206.03,0.0,0.0,212.41,0.0,427.72,1710.87
15,Artigas,2,Terrestre Auto,2018-05-30,14029,2018-06-04,14034,1,Uruguay,51,Artigas,2,Visita familiares / amigos,14,"Jefe, Capataz, Encargado",3.0,Secundaria incompleta,20,Brasil,6,Vivienda Familiares / Amigos,15,Artigas,2,Terrestre Auto,1,Auto propio,5,5,159.41,0.0,59.77,0.0,27.21,0.0,0.0,72.44,0.0,131.04,655.19
